combination,n_models,strategy,models,weights,holdout_lower_ci,cv_lower_ci,gap
t_learner_ridge+x_learner+hurdle,3,ci_weights,"['t_learner_ridge', 'x_learner', 'hurdle']","{'t_learner_ridge': 0.3357041768983981, 'x_learner': 0.32907574168065934, 'hurdle': 0.33522007769710255}",0.88,,
dr_learner+t_learner_ridge+r_learner,3,ci_weights,"['dr_learner', 't_learner_ridge', 'r_learner']","{'dr_learner': 0.3322485194813295, 't_learner_ridge': 0.3333949691812316, 'r_learner': 0.33435650763921415}",0.8799,,
t_learner_lgb+x_learner+hurdle,3,ci_weights,"['t_learner_lgb', 'x_learner', 'hurdle']","{'t_learner_lgb': 0.331747517019114, 'x_learner': 0.3310357732495382, 'hurdle': 0.33721670598532794}",0.8794,,
t_learner_lgb+r_learner,2,equal,"['t_learner_lgb', 'r_learner']","{'t_learner_lgb': 0.5, 'r_learner': 0.5}",0.8793,,
t_learner_ridge+x_learner,2,equal,"['t_learner_ridge', 'x_learner']","{'t_learner_ridge': 0.5, 'x_learner': 0.5}",0.8793,,
t_learner_ridge+r_learner,2,ci_weights,"['t_learner_ridge', 'r_learner']","{'t_learner_ridge': 0.49928001495746555, 'r_learner': 0.5007199795042092}",0.8793,,
t_learner_lgb+t_learner_ridge+r_learner,3,equal,"['t_learner_lgb', 't_learner_ridge', 'r_learner']","{'t_learner_lgb': 0.3333333333333333, 't_learner_ridge': 0.3333333333333333, 'r_learner': 0.3333333333333333}",0.8792,,
dr_learner+hurdle,2,ci_weights,"['dr_learner', 'hurdle']","{'dr_learner': 0.4994996080312487, 'hurdle': 0.5005003864088714}",0.8792,,
t_learner_lgb+x_learner+r_learner,3,equal,"['t_learner_lgb', 'x_learner', 'r_learner']","{'t_learner_lgb': 0.3333333333333333, 'x_learner': 0.3333333333333333, 'r_learner': 0.3333333333333333}",0.8791,,
t_learner_ridge+r_learner,2,equal,"['t_learner_ridge', 'r_learner']","{'t_learner_ridge': 0.5, 'r_learner': 0.5}",0.879,,
t_learner_lgb+r_learner,2,ci_weights,"['t_learner_lgb', 'r_learner']","{'t_learner_lgb': 0.49483153324673673, 'r_learner': 0.5051684611657347}",0.8789,,
dr_learner+t_learner_lgb+r_learner,3,ci_weights,"['dr_learner', 't_learner_lgb', 'r_learner']","{'dr_learner': 0.3342137556853772, 't_learner_lgb': 0.32945202808879126, 'r_learner': 0.3363342125057319}",0.8788,,
all_models,6,ci_weights,"['dr_learner', 't_learner_lgb', 't_learner_ridge', 'x_learner', 'r_learner', 'hurdle']","{'dr_learner': 0.1671908436453134, 't_learner_lgb': 0.16480878353994832, 't_learner_ridge': 0.1677677488270815, 'x_learner': 0.16445519649305818, 'r_learner': 0.1682516047859838, 'hurdle': 0.16752582084763037}",0.8784,,
t_learner_ridge+r_learner+hurdle,3,equal,"['t_learner_ridge', 'r_learner', 'hurdle']","{'t_learner_ridge': 0.3333333333333333, 'r_learner': 0.3333333333333333, 'hurdle': 0.3333333333333333}",0.8782,,
t_learner_lgb+x_learner+hurdle,3,equal,"['t_learner_lgb', 'x_learner', 'hurdle']","{'t_learner_lgb': 0.3333333333333333, 'x_learner': 0.3333333333333333, 'hurdle': 0.3333333333333333}",0.8782,,
t_learner_lgb+r_learner,2,gap_weights,"['t_learner_lgb', 'r_learner']","{'t_learner_lgb': 0.4871592256025287, 'r_learner': 0.5128407743974712}",0.8781,,
x_learner+r_learner+hurdle,3,ci_weights,"['x_learner', 'r_learner', 'hurdle']","{'x_learner': 0.32875743925313455, 'r_learner': 0.33634672493918627, 'hurdle': 0.3348958320874411}",0.8778,,
dr_learner+hurdle,2,rank_weights,"['dr_learner', 'hurdle']","{'hurdle': 0.6666666666666666, 'dr_learner': 0.3333333333333333}",0.8777,,
t_learner_lgb+t_learner_ridge+x_learner,3,equal,"['t_learner_lgb', 't_learner_ridge', 'x_learner']","{'t_learner_lgb': 0.3333333333333333, 't_learner_ridge': 0.3333333333333333, 'x_learner': 0.3333333333333333}",0.8773,,
hurdle,1,single,['hurdle'],{'hurdle': 1.0},0.8773,0.9002,0.02839999999999998
dr_learner+x_learner+r_learner,3,ci_weights,"['dr_learner', 'x_learner', 'r_learner']","{'dr_learner': 0.33445015138690287, 'x_learner': 0.3289777368439516, 'r_learner': 0.33657210804641463}",0.877,,
all_models,6,equal,"['dr_learner', 't_learner_lgb', 't_learner_ridge', 'x_learner', 'r_learner', 'hurdle']","{'dr_learner': 0.16666666666666666, 't_learner_lgb': 0.16666666666666666, 't_learner_ridge': 0.16666666666666666, 'x_learner': 0.16666666666666666, 'r_learner': 0.16666666666666666, 'hurdle': 0.16666666666666666}",0.8768,,
t_learner_lgb+r_learner+hurdle,3,equal,"['t_learner_lgb', 'r_learner', 'hurdle']","{'t_learner_lgb': 0.3333333333333333, 'r_learner': 0.3333333333333333, 'hurdle': 0.3333333333333333}",0.8766,,
t_learner_ridge+r_learner+hurdle,3,ci_weights,"['t_learner_ridge', 'r_learner', 'hurdle']","{'t_learner_ridge': 0.33317318230034304, 'r_learner': 0.3341340811067556, 'hurdle': 0.3326927328971368}",0.8765,,
dr_learner+t_learner_lgb+r_learner,3,equal,"['dr_learner', 't_learner_lgb', 'r_learner']","{'dr_learner': 0.3333333333333333, 't_learner_lgb': 0.3333333333333333, 'r_learner': 0.3333333333333333}",0.8762,,
dr_learner+t_learner_lgb+x_learner,3,ci_weights,"['dr_learner', 't_learner_lgb', 'x_learner']","{'dr_learner': 0.3367695005556491, 't_learner_lgb': 0.33197135985316434, 'x_learner': 0.3312591358426392}",0.8758,,
dr_learner+t_learner_lgb+hurdle,3,equal,"['dr_learner', 't_learner_lgb', 'hurdle']","{'dr_learner': 0.3333333333333333, 't_learner_lgb': 0.3333333333333333, 'hurdle': 0.3333333333333333}",0.8757,,
dr_learner+x_learner,2,ci_weights,"['dr_learner', 'x_learner']","{'dr_learner': 0.5041243448508819, 'x_learner': 0.4958756495377608}",0.8755,,
dr_learner+r_learner+hurdle,3,equal,"['dr_learner', 'r_learner', 'hurdle']","{'dr_learner': 0.3333333333333333, 'r_learner': 0.3333333333333333, 'hurdle': 0.3333333333333333}",0.8752,,
t_learner_ridge+r_learner,2,rank_weights,"['t_learner_ridge', 'r_learner']","{'r_learner': 0.6666666666666666, 't_learner_ridge': 0.3333333333333333}",0.8752,,
x_learner+r_learner,2,rank_weights,"['x_learner', 'r_learner']","{'r_learner': 0.6666666666666666, 'x_learner': 0.3333333333333333}",0.8744,,
dr_learner+x_learner+hurdle,3,ci_weights,"['dr_learner', 'x_learner', 'hurdle']","{'dr_learner': 0.33493643390024813, 'x_learner': 0.32945606259756155, 'hurdle': 0.3356074997740465}",0.8742,,
dr_learner+hurdle,2,gap_weights,"['dr_learner', 'hurdle']","{'dr_learner': 0.5053128689492324, 'hurdle': 0.49468713105076756}",0.874,,
r_learner+hurdle,2,equal,"['r_learner', 'hurdle']","{'r_learner': 0.5, 'hurdle': 0.5}",0.8738,,
t_learner_ridge+x_learner+hurdle,3,equal,"['t_learner_ridge', 'x_learner', 'hurdle']","{'t_learner_ridge': 0.3333333333333333, 'x_learner': 0.3333333333333333, 'hurdle': 0.3333333333333333}",0.8736,,
dr_learner+x_learner,2,equal,"['dr_learner', 'x_learner']","{'dr_learner': 0.5, 'x_learner': 0.5}",0.8732,,
dr_learner+t_learner_lgb+hurdle,3,ci_weights,"['dr_learner', 't_learner_lgb', 'hurdle']","{'dr_learner': 0.3346993505152397, 't_learner_lgb': 0.32993070438145183, 'hurdle': 0.3353699413778036}",0.8732,,
x_learner+r_learner,2,ci_weights,"['x_learner', 'r_learner']","{'x_learner': 0.4942946610678227, 'r_learner': 0.5057053333387105}",0.8729,,
dr_learner+hurdle,2,equal,"['dr_learner', 'hurdle']","{'dr_learner': 0.5, 'hurdle': 0.5}",0.8729,,
dr_learner+r_learner,2,ci_weights,"['dr_learner', 'r_learner']","{'dr_learner': 0.4984188599255542, 'r_learner': 0.5015811345265957}",0.8728,,
dr_learner+x_learner+r_learner,3,equal,"['dr_learner', 'x_learner', 'r_learner']","{'dr_learner': 0.3333333333333333, 'x_learner': 0.3333333333333333, 'r_learner': 0.3333333333333333}",0.8728,,
dr_learner+r_learner+hurdle,3,ci_weights,"['dr_learner', 'r_learner', 'hurdle']","{'dr_learner': 0.33240833117842034, 'r_learner': 0.33451733327961913, 'hurdle': 0.3330743318419568}",0.8726,,
t_learner_lgb+t_learner_ridge,2,rank_weights,"['t_learner_lgb', 't_learner_ridge']","{'t_learner_ridge': 0.6666666666666666, 't_learner_lgb': 0.3333333333333333}",0.872,,
x_learner,1,single,['x_learner'],{'x_learner': 1.0},0.872,0.8837,0.029999999999999916
dr_learner+t_learner_lgb,2,equal,"['dr_learner', 't_learner_lgb']","{'dr_learner': 0.5, 't_learner_lgb': 0.5}",0.8716,,
x_learner+r_learner,2,gap_weights,"['x_learner', 'r_learner']","{'x_learner': 0.486774575602053, 'r_learner': 0.5132254243979469}",0.8715,,
dr_learner+r_learner,2,rank_weights,"['dr_learner', 'r_learner']","{'r_learner': 0.6666666666666666, 'dr_learner': 0.3333333333333333}",0.8714,,
dr_learner+t_learner_lgb,2,gap_weights,"['dr_learner', 't_learner_lgb']","{'dr_learner': 0.5080234833659489, 't_learner_lgb': 0.4919765166340511}",0.8714,,
dr_learner+t_learner_ridge+hurdle,3,equal,"['dr_learner', 't_learner_ridge', 'hurdle']","{'dr_learner': 0.3333333333333333, 't_learner_ridge': 0.3333333333333333, 'hurdle': 0.3333333333333333}",0.8711,,
t_learner_lgb+hurdle,2,rank_weights,"['t_learner_lgb', 'hurdle']","{'hurdle': 0.6666666666666666, 't_learner_lgb': 0.3333333333333333}",0.871,,
dr_learner+t_learner_lgb+t_learner_ridge,3,ci_weights,"['dr_learner', 't_learner_lgb', 't_learner_ridge']","{'dr_learner': 0.3345373288604084, 't_learner_lgb': 0.32977099113844355, 't_learner_ridge': 0.3356916762774467}",0.8705,,
t_learner_lgb+t_learner_ridge+hurdle,3,equal,"['t_learner_lgb', 't_learner_ridge', 'hurdle']","{'t_learner_lgb': 0.3333333333333333, 't_learner_ridge': 0.3333333333333333, 'hurdle': 0.3333333333333333}",0.8705,,
dr_learner+t_learner_lgb,2,ci_weights,"['dr_learner', 't_learner_lgb']","{'dr_learner': 0.5035874411233888, 't_learner_lgb': 0.49641255327123013}",0.8703,,
t_learner_lgb+t_learner_ridge+hurdle,3,ci_weights,"['t_learner_lgb', 't_learner_ridge', 'hurdle']","{'t_learner_lgb': 0.32955010482807984, 't_learner_ridge': 0.3354668241898306, 'hurdle': 0.33498306726088245}",0.8701,,
dr_learner+t_learner_lgb,2,rank_weights,"['dr_learner', 't_learner_lgb']","{'dr_learner': 0.6666666666666666, 't_learner_lgb': 0.3333333333333333}",0.8698,,
t_learner_lgb+hurdle,2,ci_weights,"['t_learner_lgb', 'hurdle']","{'t_learner_lgb': 0.49591219343760673, 'hurdle': 0.5040878009626621}",0.8686,,
t_learner_lgb+r_learner+hurdle,3,ci_weights,"['t_learner_lgb', 'r_learner', 'hurdle']","{'t_learner_lgb': 0.3292315687228835, 'r_learner': 0.33610914778947487, 'hurdle': 0.3346592797700313}",0.8685,,
dr_learner+t_learner_ridge+hurdle,3,ci_weights,"['dr_learner', 't_learner_ridge', 'hurdle']","{'dr_learner': 0.33272841623373794, 't_learner_ridge': 0.33387652185520345, 'hurdle': 0.3333950582074921}",0.8685,,
r_learner,1,single,['r_learner'],{'r_learner': 1.0},0.8684,0.9041,0.023299999999999987
dr_learner+r_learner,2,gap_weights,"['dr_learner', 'r_learner']","{'dr_learner': 0.4951807228915661, 'r_learner': 0.5048192771084339}",0.8681,,
t_learner_lgb+t_learner_ridge+x_learner,3,ci_weights,"['t_learner_lgb', 't_learner_ridge', 'x_learner']","{'t_learner_lgb': 0.3315860403939418, 't_learner_ridge': 0.33753931279938854, 'x_learner': 0.3308746430624733}",0.8678,,
dr_learner+t_learner_lgb+x_learner,3,equal,"['dr_learner', 't_learner_lgb', 'x_learner']","{'dr_learner': 0.3333333333333333, 't_learner_lgb': 0.3333333333333333, 'x_learner': 0.3333333333333333}",0.8674,,
dr_learner+x_learner,2,rank_weights,"['dr_learner', 'x_learner']","{'dr_learner': 0.6666666666666666, 'x_learner': 0.3333333333333333}",0.8673,,
t_learner_lgb+t_learner_ridge,2,ci_weights,"['t_learner_lgb', 't_learner_ridge']","{'t_learner_lgb': 0.4955514493002549, 't_learner_ridge': 0.5044485451040873}",0.8671,,
t_learner_lgb+t_learner_ridge,2,gap_weights,"['t_learner_lgb', 't_learner_ridge']","{'t_learner_lgb': 0.498260533436413, 't_learner_ridge': 0.5017394665635869}",0.8669,,
t_learner_lgb,1,single,['t_learner_lgb'],{'t_learner_lgb': 1.0},0.866,0.8856,0.029799999999999938
dr_learner,1,single,['dr_learner'],{'dr_learner': 1.0},0.8632,0.8984,0.025700000000000056
t_learner_lgb+x_learner,2,equal,"['t_learner_lgb', 'x_learner']","{'t_learner_lgb': 0.5, 'x_learner': 0.5}",0.8631,,
dr_learner+r_learner,2,equal,"['dr_learner', 'r_learner']","{'dr_learner': 0.5, 'r_learner': 0.5}",0.8629,,
t_learner_lgb+x_learner,2,gap_weights,"['t_learner_lgb', 'x_learner']","{'t_learner_lgb': 0.5003849114703618, 'x_learner': 0.4996150885296382}",0.8617,,
t_learner_lgb+hurdle,2,gap_weights,"['t_learner_lgb', 'hurdle']","{'t_learner_lgb': 0.4972889233152596, 'hurdle': 0.5027110766847404}",0.8611,,
t_learner_lgb+x_learner,2,ci_weights,"['t_learner_lgb', 'x_learner']","{'t_learner_lgb': 0.500536932682208, 'x_learner': 0.49946306166583926}",0.861,,
t_learner_lgb+x_learner,2,rank_weights,"['t_learner_lgb', 'x_learner']","{'t_learner_lgb': 0.6666666666666666, 'x_learner': 0.3333333333333333}",0.8597,,
t_learner_lgb+t_learner_ridge,2,equal,"['t_learner_lgb', 't_learner_ridge']","{'t_learner_lgb': 0.5, 't_learner_ridge': 0.5}",0.8591,,
t_learner_lgb+hurdle,2,equal,"['t_learner_lgb', 'hurdle']","{'t_learner_lgb': 0.5, 'hurdle': 0.5}",0.8571,,
